PREFIXO: ;D4-047
NOME DO POSTO: ;BARAO GERALDO
MUNICÍPIO: ;CAMPINAS
CURSO D'ÁGUA: ;ANHUMAS,RIB DAS/MATO-DENTRO,COR DO
LATITUDE: ;22°50'09"
LONGITUDE: ;47°04'16"
 
Obs: valores com --- representam dados inexistentes.
 
Chuva Mensal (mm)
 
Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
  1958;---;---;159,30;42,30;157,60;70,50;16,60;0,90;93,70;98,80;167,50;75,80
  1959;212,40;87,80;131,70;44,80;16,20;0,00;3,20;56,60;24,00;87,70;144,60;129,30
  1960;170,20;186,50;70,60;57,70;67,40;65,70;0,00;25,10;3,50;133,50;68,80;345,30
  1961;172,00;240,70;91,30;93,80;37,60;0,00;0,00;12,40;0,00;52,30;164,30;255,10
  1962;105,70;182,20;212,80;18,50;7,80;31,60;30,30;53,10;60,80;188,80;89,40;290,20
  1963;360,80;184,50;47,80;15,70;0,00;0,00;0,00;4,60;5,60;164,40;184,30;52,80
  1964;75,30;298,20;32,60;77,50;23,20;22,10;62,40;15,70;91,10;185,00;93,30;335,80
  1965;258,60;228,00;141,40;46,20;55,70;10,30;73,00;0,00;137,00;160,00;181,00;226,30
  1966;112,30;145,30;170,20;19,20;80,60;0,00;16,00;9,30;57,00;103,00;108,60;263,50
  1967;243,70;211,00;122,60;31,90;31,00;103,20;11,40;17,30;54,60;144,50;101,00;151,00
  1968;228,60;136,00;133,00;45,60;26,00;19,00;0,00;36,00;21,00;118,00;34,50;109,00
  1969;129,60;110,90;85,70;46,50;30,00;30,40;12,50;36,50;59,70;116,50;233,50;183,30
  1970;384,60;495,40;102,20;62,10;61,00;73,70;12,20;94,80;92,70;104,60;154,10;192,30
  1971;76,30;61,00;195,00;65,30;61,90;105,10;30,40;7,40;82,30;134,90;95,50;169,60
  1972;307,60;289,10;67,80;65,40;52,20;19,60;110,90;71,70;46,50;181,10;181,60;114,60
  1973;224,80;99,50;155,70;62,70;36,80;44,60;61,30;18,10;29,40;98,10;---;251,20
  1974;375,90;18,30;201,30;43,20;11,00;121,10;0,00;0,00;30,90;142,90;132,10;207,90
  1975;201,60;326,00;40,60;52,30;15,30;3,00;37,30;0,00;26,00;199,00;248,20;212,10
  1976;249,90;290,90;163,40;86,40;150,90;88,50;138,00;97,40;191,10;119,50;154,80;142,10
  1977;370,60;41,40;135,90;126,40;7,80;34,60;11,70;26,70;126,90;86,80;136,60;311,50
  1978;32,60;74,10;91,90;6,70;66,30;78,80;74,50;4,00;29,20;63,80;112,60;176,40
  1979;116,80;166,10;52,70;50,00;127,50;0,00;41,80;69,20;94,00;112,60;150,20;235,70
  1980;337,20;125,20;110,20;207,10;10,20;105,50;4,00;30,80;57,80;77,90;79,70;286,30
  1981;217,10;58,20;121,40;28,40;24,60;68,60;12,50;2,90;8,00;275,20;178,10;206,80
  1982;339,20;142,20;212,40;71,30;42,70;196,30;32,50;39,40;11,50;367,70;197,70;424,30
  1983;326,70;298,50;461,10;145,90;253,00;176,40;41,90;8,50;322,00;130,50;133,70;320,90
  1984;163,80;120,20;29,30;143,60;60,30;0,00;1,20;131,50;74,40;24,80;---;---
  1985;200,70;---;---;119,90;34,80;13,90;4,10;17,50;100,70;19,80;63,90;151,60
  1986;134,60;240,50;258,20;37,90;139,30;0,00;13,10;141,60;32,30;85,70;151,30;369,00
  1987;395,80;129,60;279,70;105,30;262,50;85,70;9,30;12,20;80,40;96,90;116,10;259,20
  1988;258,60;249,60;220,40;107,10;142,80;26,30;0,00;0,00;0,00;175,00;148,70;155,90
  1989;283,30;161,40;105,70;26,90;15,80;45,70;139,80;32,40;57,60;32,70;250,80;221,40
  1990;512,30;150,60;269,30;50,90;59,00;12,30;146,20;36,60;74,30;99,90;119,00;133,80
  1991;480,40;244,60;402,90;151,40;42,20;38,10;19,60;4,70;55,00;137,20;102,30;239,10
  1992;132,70;83,40;158,90;51,00;94,50;0,00;31,80;21,60;81,50;314,30;254,70;205,60
  1993;309,90;342,40;183,90;60,30;112,40;43,00;13,70;46,50;146,50;95,20;117,10;226,40
  1994;181,90;281,30;189,30;59,40;71,50;35,00;51,20;0,00;0,00;58,90;191,90;359,80
  1995;234,70;452,90;253,50;142,10;58,40;28,40;58,00;0,00;76,10;237,10;165,60;351,00
  1996;458,50;221,40;175,10;86,50;29,80;31,20;4,30;34,80;133,60;196,70;197,90;262,10
  1997;369,50;194,00;53,20;49,70;79,50;114,40;25,10;17,90;102,60;108,10;208,40;292,80
  1998;140,40;211,40;179,80;56,00;115,20;21,60;8,70;12,40;78,40;163,20;85,00;338,10
  1999;384,10;215,60;161,40;67,70;48,40;75,20;0,90;0,00;77,90;32,10;99,70;186,80
  2000;284,80;279,30;117,50;1,50;2,90;7,00;82,10;63,00;99,00;94,60;384,70;255,20
  2001;153,80;372,90;109,20;24,00;101,30;26,80;13,70;28,70;72,60;245,10;137,80;185,90
  2002;236,00;149,40;147,40;14,20;89,40;0,00;6,20;71,10;62,90;49,90;236,30;172,60
  2003;381,60;171,00;76,50;37,90;55,20;16,50;16,90;23,90;22,40;82,00;196,40;273,80
  2004;207,00;153,60;52,60;53,70;103,40;67,00;86,90;0,00;20,40;168,80;104,80;204,10
  2005;382,70;64,10;291,30;68,40;172,40;39,10;3,30;0,00;40,70;183,60;22,70;119,50
  2006;269,30;222,00;183,20;24,60;3,20;8,40;39,30;8,40;57,50;68,60;226,30;169,60
  2007;450,90;---;---;76,90;67,10;31,90;204,00;0,00;3,30;76,10;160,20;119,10
  2008;---;127,90;101,10;117,20;66,70;70,30;0,00;55,90;51,00;---;84,80;73,30
  2009;106,30;---;78,80;53,90;---;---;---;---;---;---;---;492,20
  2010;421,20;134,60;163,80;106,70;24,40;22,40;61,10;0,00;69,30;94,20;184,50;247,30
  2011;569,70;232,40;411,00;128,10;52,50;77,80;20,30;35,20;10,00;171,20;267,40;299,90
  2012;362,80;134,90;106,10;200,50;83,10;---;46,10;0,00;33,40;138,90;68,60;203,00
  2013;191,60;99,90;140,90;104,40;70,40;82,80;40,10;4,60;---;126,80;86,70;---
  2014;220,70;---;119,00;73,30;34,10;5,90;34,70;0,00;82,40;10,30;167,70;313,50
  2015;193,00;241,50;240,70;32,60;57,70;---;29,80;---;183,80;53,40;---;334,70
  2016;326,80;273,30;246,00;10,30;98,80;---;---;39,20;32,80;132,10;---;---
  2017;268,20;---;194,20;105,60;181,80;33,30;0,00;---;12,80;---;---;---
  2018;---;---;---;---;---;8,30;13,70;---;---;---;---;---
  2019;---;---;---;---;---;---;60,40;---;---;---;135,80;---
  2020;281,90;---;---;0,80;---;---;25,00;---;18,80;41,40;114,70;---
  2021;---;---;---;6,30;---;22,60;26,80;15,60;7,80;---;103,00;---
  2022;---;---;---;58,30;41,20;18,10;6,70;---;73,80;---;---;---
  2023;---;172,10;---;---;0,00;68,90;5,80;---;---;---;---;---
  Média:;264,06;193,18;158,80;67,11;67,64;44,11;34,13;27,48;63,64;125,20;148,78;230,10
